issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,claude,Your issue requires further review by our support team.,general,escalated,product_issue,This request was classified as product_issue. Sensitive content indicators were detected. Relevant documentation was found. Retrieval confidence was moderate. The case was escalated for further review.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,hackerrank,"Based on our support documentation:

title_slug: ""recruitee-hackerrank-integration-overview-tests-features"" source_url: ""https://support.hackerrank.com/articles/6130823390-recruitee---hackerrank-integration-guide"" article_slug: ""61308233

title_slug: ""ashby-hackerrank-integration-configuration-guide"" source_url: ""https://support.hackerrank.com/articles/4146164514-ashby---hackerrank-integration-configuration-guide"" article_slug: ""414616",assessments,replied,product_issue,This request was classified as product_issue. No sensitive or malicious content indicators were detected. Relevant documentation was found. Retrieval confidence was high. A direct response was provided.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,visa,Your issue requires further review by our support team.,general,escalated,product_issue,This request was classified as product_issue. Sensitive content indicators were detected. Relevant documentation was found. Retrieval confidence was moderate. The case was escalated for further review.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,hackerrank,Your issue requires further review by our support team.,general,escalated,bug,This request was classified as bug. Sensitive content indicators were detected. Relevant documentation was found. Retrieval confidence was moderate. The case was escalated for further review.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,hackerrank,Your issue requires further review by our support team.,general,escalated,product_issue,This request was classified as product_issue. Sensitive content indicators were detected. Relevant documentation was found. Retrieval confidence was moderate. The case was escalated for further review.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,hackerrank,"Based on our support documentation:

title_slug: ""ashby-hackerrank-integration-configuration-guide"" source_url: ""https://support.hackerrank.com/articles/4146164514-ashby---hackerrank-integration-configuration-guide"" article_slug: ""414616

title_slug: ""quick-start-guide-for-recruiters"" source_url: ""https://support.hackerrank.com/articles/9248897371-quick-start-guide-for-recruiters"" article_slug: ""9248897371-quick-start-guide-for-recruit",general,replied,product_issue,This request was classified as product_issue. No sensitive or malicious content indicators were detected. Relevant documentation was found. Retrieval confidence was high. A direct response was provided.
i can not able to see apply tab,"I need to practice, submissions not working",hackerrank,Your issue requires further review by our support team.,general,escalated,bug,This request was classified as bug. No sensitive or malicious content indicators were detected. Relevant documentation was found. Retrieval confidence was low. The case was escalated for further review.
none of the submissions across any challenges are working on your website,Issue while taking the test,hackerrank,Your issue requires further review by our support team.,general,escalated,product_issue,This request was classified as product_issue. No sensitive or malicious content indicators were detected. Relevant documentation was found. Retrieval confidence was moderate. The case was escalated for further review.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,hackerrank,Your issue requires further review by our support team.,general,escalated,bug,This request was classified as bug. No sensitive or malicious content indicators were detected. Relevant documentation was found. Retrieval confidence was low. The case was escalated for further review.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,hackerrank,"Based on our support documentation:

title_slug: ""hackerrank-certified-assessments"" source_url: ""https://support.hackerrank.com/articles/1649328687-hackerrank-certified-assessments"" article_slug: ""1649328687-hackerrank-certified-assessme

title_slug: ""workday-hackerrank-tests-user-guide"" source_url: ""https://support.hackerrank.com/articles/1999755553-workday---hackerrank-tests-user-guide"" article_slug: ""1999755553-workday---hackerrank-",assessments,replied,feature_request,This request was classified as feature_request. No sensitive or malicious content indicators were detected. Relevant documentation was found. Retrieval confidence was high. A direct response was provided.
